county,precinct,county_prec,obama,romney,clinton,trump,pct_obama,pct_romney,pct_clinton,pct_trump,berkley,heller,cortezmasto,heck,pct_berkley,pct_heller,pct_cortezmasto,pct_heck,pct_latino,votes_2012,votes_2016
003,1381,003_1381,2,0,0,2,1.0,0.0,0.0,1.0,2,0,0,2,1.0,0.0,0.0,1.0,0.0,2,2
003,1384,003_1384,16,14,130,116,0.516129,0.4516129,0.490566,0.4377359,15,13,127,121,0.483871,0.4193548,0.4792453,0.4566038,0.11263736263736264,31,265
003,1386,003_1386,1,3,0,2,0.2,0.6,0.0,0.6666667,1,4,1,2,0.2,0.8,0.3333333,0.6666667,0.0,5,3
003,1389,003_1389,237,177,401,349,0.5710843,0.426506,0.5088832,0.4428934,190,184,366,347,0.4578313,0.4433735,0.464467,0.4403553,0.17833173537871524,415,788
003,1390,003_1390,689,564,787,650,0.5399687,0.4420063,0.518104,0.4279131,574,547,769,620,0.4498433,0.4286834,0.5062541,0.4081633,0.10681318681318681,1276,1519
003,1391,003_1391,454,344,644,503,0.5563725,0.4215686,0.5206144,0.4066289,374,341,613,503,0.4583333,0.4178922,0.4955538,0.4066289,0.13178294573643412,816,1237
003,1394,003_1394,406,622,440,591,0.3888889,0.5957854,0.4055299,0.5447004,369,595,418,589,0.3534483,0.5699234,0.3852535,0.5428572,0.08167613636363637,1044,1085
003,1395,003_1395,344,624,374,599,0.3528205,0.64,0.367387,0.5884086,300,626,338,618,0.3076923,0.6420513,0.3320236,0.6070727,0.04133430021754895,975,1018
003,1396,003_1396,422,355,455,364,0.5341772,0.4493671,0.5334115,0.4267292,357,344,434,346,0.4518987,0.435443,0.5087925,0.4056272,0.12152501985702939,790,853
003,1410,003_1410,541,621,554,635,0.4530988,0.5201005,0.4277992,0.4903475,451,623,529,646,0.3777219,0.5217755,0.4084942,0.4988417,0.10067873303167421,1194,1295
003,1411,003_1411,441,572,464,519,0.4289883,0.5564202,0.4509232,0.5043732,378,564,419,514,0.3677043,0.5486381,0.4071915,0.4995141,0.0917941585535466,1028,1029
003,1509,003_1509,390,576,426,624,0.4008222,0.5919836,0.386921,0.5667575,351,548,409,618,0.36074,0.5632066,0.3714805,0.5613079,0.07157894736842105,973,1101
003,1510,003_1510,226,596,265,527,0.2729469,0.7198068,0.3216019,0.6395631,222,565,228,566,0.2681159,0.6823671,0.276699,0.6868932,0.022321428571428572,828,824
003,1511,003_1511,369,492,396,481,0.424626,0.566168,0.4276458,0.5194384,322,493,364,501,0.3705409,0.5673187,0.3930885,0.5410367,0.08533554266777134,869,926
003,1513,003_1513,437,794,531,758,0.3504411,0.6367282,0.389011,0.5553114,416,752,486,779,0.3336006,0.6030473,0.356044,0.570696,0.0903010033444816,1247,1365
003,1514,003_1514,446,599,471,620,0.4191729,0.5629699,0.4005102,0.5272109,394,590,449,640,0.3703007,0.5545112,0.3818027,0.5442177,0.06725888324873096,1064,1176
003,1517,003_1517,305,410,300,396,0.4224377,0.567867,0.4149378,0.5477179,289,386,319,357,0.400277,0.5346261,0.4412172,0.4937759,0.015151515151515152,722,723
003,1518,003_1518,423,862,505,746,0.3263889,0.6651235,0.3866769,0.5712098,399,831,456,786,0.3078704,0.6412037,0.3491577,0.6018377,0.015931372549019607,1296,1306
003,1519,003_1519,115,324,141,311,0.2595937,0.7313769,0.2987288,0.6588983,105,321,106,347,0.2370203,0.724605,0.2245763,0.7351695,0.023608768971332208,443,472
003,1520,003_1520,289,351,260,367,0.446677,0.5425039,0.3993856,0.5637481,260,343,274,341,0.4018547,0.5301391,0.4208909,0.5238096,0.036069651741293535,647,651
003,1521,003_1521,290,658,314,598,0.3049422,0.6919032,0.3305263,0.6294737,269,641,303,589,0.2828602,0.6740273,0.3189474,0.62,0.03130590339892665,951,950
003,1525,003_1525,525,864,523,830,0.374465,0.6162625,0.3759885,0.596693,480,840,501,820,0.342368,0.5991441,0.3601725,0.5895039,0.032926829268292684,1402,1391
003,1528,003_1528,598,831,594,858,0.4147018,0.5762829,0.3857143,0.5571429,530,816,567,868,0.3675451,0.5658807,0.3681818,0.5636364,0.08236483072258717,1442,1540
003,1533,003_1533,3,1,1,2,0.75,0.25,0.3333333,0.6666667,2,2,1,2,0.5,0.5,0.3333333,0.6666667,0.0,4,3
003,1550,003_1550,301,413,310,404,0.418637,0.5744089,0.4133333,0.5386667,273,401,302,402,0.379694,0.5577191,0.4026667,0.536,0.06822810590631365,719,750
003,1552,003_1552,239,288,287,327,0.4475656,0.5393258,0.4463453,0.5085537,206,280,269,319,0.3857678,0.5243446,0.4183515,0.496112,0.10898876404494381,534,643
003,1601,003_1601,460,264,421,297,0.6216216,0.3567567,0.5524935,0.3897638,374,270,399,277,0.5054054,0.3648649,0.523622,0.363517,0.15202108963093147,740,762
003,1602,003_1602,404,178,440,208,0.6789916,0.2991597,0.6442167,0.3045388,344,168,415,185,0.5781513,0.282353,0.6076134,0.2708638,0.22589052997393572,595,683
003,1603,003_1603,328,160,424,200,0.6612903,0.3225806,0.654321,0.308642,285,160,392,180,0.5745968,0.3225806,0.6049383,0.2777778,0.14129244249726178,496,648
